File: sample.html
Date: 2018-11-26
Line 42: 3
Line 109: 8
Line 110: 8
Line 111: 8
Line 164: 1
Line 172: 6
Line 177: 6
Line 188: 6
Line 189: 6
Line 190: 6
Line 226: 6
Line 227: 6
Line 236: 6
Line 237: 6
Line 238: 6
Line 239: 6
Line 240: 6
Line 241: 6
Line 242: 6
Line 252: 6
Line 262: 6
Line 263: 6
Line 264: 6
Line 265: 6
Line 266: 6
Line 269: 6
Line 269: 1
Line 270: 1
Line 274: 1
Line 275: 1
Line 277: 6
Line 279: 6
Line 279: 1
Line 280: 1
Line 281: 1
Line 284: 6
Line 290: 6
Line 294: 1
Line 295: 1
Line 296: 1
Line 305: 6
Line 310: 6
Line 315: 6
Line 317: 6
Line 318: 6
Line 319: 6
Line 320: 6
Line 321: 6
Line 322: 6
Line 323: 6
Line 324: 6
Line 329: 6
Line 331: 6
Line 332: 6
Line 333: 6
Line 334: 6
Line 335: 1
Line 339: 6
Line 341: 6
Line 342: 6
Line 343: 6
Line 344: 6
Line 345: 1
Line 349: 6
Line 351: 6
Line 352: 6
Line 353: 6
Line 354: 6
Line 355: 6
Line 356: 6
Line 357: 6
Line 358: 6
Line 359: 6
Line 360: 1
Line 364: 6
Line 366: 6
Line 367: 6
Line 368: 6
Line 369: 6
Line 370: 6
Line 371: 1
Line 373: 1
Line 374: 1
Line 375: 1
Line 376: 1
Line 377: 1
Line 378: 1
Line 383: 6
Line 390: 6
Line 395: 6
Line 396: 6
Line 397: 6
Line 398: 6
Line 399: 6
Line 400: 6
Line 401: 6
Line 436: 6
Line 440: 6
Line 447: 6
Line 454: 6
Line 464: 6
Line 471: 6
Line 476: 6
Line 477: 6
Line 478: 6
Line 479: 6
Line 480: 6
Line 497: 6
Line 503: 6
Line 508: 6
Line 509: 6
Line 510: 6
Line 511: 6
Line 512: 6
Line 513: 6
Line 514: 6
Line 515: 6
Line 516: 6
Line 521: 6
Line 522: 6
Line 525: 6
Line 532: 6
Line 540: 6
Line 541: 6
Line 548: 6
Line 549: 6
Line 550: 6
Line 551: 6
Line 556: 6
Line 557: 6
Line 558: 6
Line 599: 6
Line 610: 2
Line 614: 6
Line 636: 2
Line 640: 6
Line 658: 2
Line 662: 6
Line 728: 1
Line 731: 6
Line 742: 2
Line 750: 6
Line 751: 6
Line 756: 6
Line 757: 6
Line 762: 6
Line 763: 6
Line 768: 6
Line 769: 6
Line 774: 6
Line 775: 6
Line 780: 6
Line 781: 6
Line 793: 1
Line 793: 1
Line 794: 6
Line 806: 6
Line 812: 6
Line 818: 6
Line 824: 6
Line 830: 6
Line 836: 6
Line 858: 5 Remove old logos 
Line 908: 6
Line 909: 6
Line 909: 6
Line 910: 6
Line 910: 1
Line 914: 6
Line 916: 1
Line 919: 1
Line 921: 1
Line 928: 1
Line 929: 1
Line 930: 5 Move this to an external JS file 
Line 967: 1
Line 977: 6
Line 978: 6
Line 979: 6
Line 983: 6
Line 986: 6
Line 995: 6
Line 996: 6
Line 997: 6
Line 998: 6
Line 999: 6
Line 1010: 6
Line 1011: 6
Line 1012: 6
Line 1013: 6
Line 1014: 6
Line 1018: 6
Line 1025: 6
Line 1026: 6
Line 1027: 6
Line 1031: 6
Line 1035: 6
Line 1036: 6
Line 1038: 6
Line 1043: 6
Line 1044: 6
Line 1045: 6
Line 1056: 6
Line 1057: 6
Line 1058: 6
Line 1059: 6
Line 1060: 6
Line 1061: 6
Line 1062: 6
Line 1067: 6
Line 1068: 6
Line 1069: 6
Line 1074: 1
Line 1077: 5
Line 1204: 7
Line 1205: 7
Line 1206: 7
Line 1207: 7
Line 1213: 7
Line 1214: 7
Line 1215: 7
Line 1216: 7
Line 1217: 7
Line 1218: 7
Line 1219: 7
Line 1220: 7
Line 1221: 7
Line 1222: 7
Line 1243: 1
Line 1244: 1
Line 0: 6
